"filename", "language", "JSON", "TypeScript", "JavaScript", "SCSS", "HTML", "Markdown", "comment", "blank", "total"
"f:\git\youtube-client\youtube-client\.eslintrc.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 1, 69
"f:\git\youtube-client\youtube-client\.prettierrc.cjs", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 1, 9
"f:\git\youtube-client\youtube-client\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 14, 28
"f:\git\youtube-client\youtube-client\angular.json", "JSON", 125, 0, 0, 0, 0, 0, 0, 1, 126
"f:\git\youtube-client\youtube-client\karma.conf.js", "JavaScript", 0, 0, 37, 0, 0, 0, 6, 2, 45
"f:\git\youtube-client\youtube-client\package-lock.json", "JSON", 32769, 0, 0, 0, 0, 0, 0, 1, 32770
"f:\git\youtube-client\youtube-client\package.json", "JSON", 56, 0, 0, 0, 0, 0, 0, 1, 57
"f:\git\youtube-client\youtube-client\src\app\app-routing.module.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"f:\git\youtube-client\youtube-client\src\app\app.component.html", "HTML", 0, 0, 0, 0, 406, 0, 22, 74, 502
"f:\git\youtube-client\youtube-client\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\git\youtube-client\youtube-client\src\app\app.component.spec.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 8, 37
"f:\git\youtube-client\youtube-client\src\app\app.component.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"f:\git\youtube-client\youtube-client\src\app\app.module.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 3, 30
"f:\git\youtube-client\youtube-client\src\app\auth\auth.module.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"f:\git\youtube-client\youtube-client\src\app\core\components\header\header\header.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"f:\git\youtube-client\youtube-client\src\app\core\components\header\header\header.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\git\youtube-client\youtube-client\src\app\core\components\header\header\header.component.spec.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 6, 25
"f:\git\youtube-client\youtube-client\src\app\core\components\header\header\header.component.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"f:\git\youtube-client\youtube-client\src\app\core\components\header\login-information\login-information.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"f:\git\youtube-client\youtube-client\src\app\core\components\header\login-information\login-information.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\git\youtube-client\youtube-client\src\app\core\components\header\login-information\login-information.component.spec.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 6, 25
"f:\git\youtube-client\youtube-client\src\app\core\components\header\login-information\login-information.component.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"f:\git\youtube-client\youtube-client\src\app\core\core.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"f:\git\youtube-client\youtube-client\src\app\shared\material\material.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"f:\git\youtube-client\youtube-client\src\app\shared\shared.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"f:\git\youtube-client\youtube-client\src\app\youtube\components\filter\filter-results\filter-results.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"f:\git\youtube-client\youtube-client\src\app\youtube\components\filter\filter-results\filter-results.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
